city,latitude,longitude
Bilbao,43.2630018,-2.9350039
Fort Collins,40.5508527,-105.0668085
Colorado Springs,38.8339578,-104.825348
Poznan,52.4006632,16.91973259178088
Reykjavik,64.145981,-21.9422367
Chattanooga,35.0457219,-85.3094883
Providence,41.8239891,-71.4128343
Bern,46.9482713,7.4514512
Las Palmas de Gran Canaria,28.1288694,-15.4349015
Rochester,43.157285,-77.615214
Oklahoma City,35.4729886,-97.5170536
Aarhus,56.1496278,10.2134046
Fresno,36.7295295,-119.70886126075588
Minsk,53.9024716,27.5618225
Turin,45.0677551,7.6824892
Nantes,47.2186371,-1.5541362
Lille,50.6365654,3.0635282
Halifax,44.648618,-63.5859487
Brno,49.1922443,16.6113382
Chongqing,29.5647398,106.5478767
Antwerp,51.2211097,4.3997081
Beer Sheva,31.2457442,34.7925181
Tucson,32.2228765,-110.9748477
Fukuoka,33.6251241,130.6180016
Karlsruhe,49.0068705,8.4034195
Grand Rapids,42.9632405,-85.6678639
Rennes,48.1113387,-1.6800198
Nice,43.7009358,7.2683912
Santa Cruz de Tenerife,28.469648,-16.2540884
Nagoya,35.1851045,136.8998438
Grenoble,45.1875602,5.7357819
Albany,41.000028,19.9999619
Sunshine Coast,-26.5443222,153.0507705
Cluj-Napoca,46.769379,23.5899542
Little Rock,34.7465071,-92.2896267
TianJin,39.0856735,117.1951073
Nottingham,52.9534193,-1.1496461
Sarasota,27.3365805,-82.5308545
Lviv,49.841952,24.0315921
Cardiff,51.4816546,-3.1791934
Lahore,31.5656822,74.3141829
Florence,43.7698712,11.2555757
Honolulu,21.304547,-157.855676
Fort Myers,26.640628,-81.8723084
Virginia Beach,36.8529841,-75.9774183
Winnipeg,49.8955367,-97.1384584
Dhaka,23.7861979,90.4026151
Kochi,9.931308,76.2674136
Kigali,-1.950851,30.061507
Montpellier,43.6112422,3.8767337
Reno,39.5261206,-119.8126581
Cebu City,10.2931062,123.9020773
Canberra,-35.2975906,149.1012676
Florianopolis,-27.5973002,-48.5496098
Liverpool,53.4071991,-2.99168
Zhuhai,22.273734,113.5721327
Dresden,51.0493286,13.7381437
Des Moines,41.5910323,-93.6046655
Tartu,58.3801207,26.72245
Gold Coast,-28.0023731,153.4145987
Memphis,35.1490215,-90.0516285
Gdańsk,54.36119285,18.62860883362069
Indore,22.7203616,75.8681996
Skopje,41.9960924,21.4316495
Accra,5.5571096,-0.2012376
Yerevan,40.1776245,44.5126174
Wellington,-41.2887953,174.7772114
Yokneam,32.6480601,35.0943545
Hsinchu,24.8066333,120.9686833
Karachi,24.8546842,67.0207055
Nuremberg,49.453872,11.077298
Coimbatore,11.0018115,76.9628425
Chandigarh,30.7334421,76.7797143
Qingdao,36.0638034,120.3781372
Lincoln,40.8088861,-96.7077751
Bologna,44.4938203,11.3426327
Malaga,36.7213028,-4.4216366
Jeddah,21.5810088,39.1653612
Darmstadt,49.872775,8.651177
Braga,41.5510583,-8.4280045
Cordoba,37.8845813,-4.7760138
Cali,3.4517923,-76.5324943
Seville,37.3886303,-5.9953403
Bloomington,39.1670396,-86.5342881
Knoxville,35.9603948,-83.9210261
Dover,51.1251275,1.3134228
Sheffield,53.3806626,-1.4702278
Chaoyang,41.5754767,120.4390738
Pula,44.8702281,13.8455311
Southampton,50.9025349,-1.404189
Linz,48.3059078,14.286198
Worcester,42.2625621,-71.8018877
Baoding,38.8579735,115.490696
Bath,51.3813864,-2.3596963
Leuven,50.879202,4.7011675
Greenville,34.851354,-82.3984882
Fayetteville,36.0625843,-94.1574328
Cork,51.897077,-8.4654674
Springfield,39.7990175,-89.6439575
Syracuse,37.0646139,15.2907196
Franklin,33.2002659,-95.2231752
Lund,55.7029296,13.1929449
Galway,53.2744122,-9.0490601
Norwich,52.628606,1.29227
Corvallis,44.5645659,-123.2620435
Hamilton,43.2560802,-79.8728583
Spokane,47.6571934,-117.4235106
Asheville,35.6009498,-82.5540161
Anchorage,61.2163129,-149.894852
Tampere,61.4980214,23.7603118
Kelowna,49.8879177,-119.4959025
Morristown,40.7970382,-74.4809868
Chemnitz,50.8322608,12.9252977
Guildford,51.2356068,-0.5732063
Bakersfield,35.3738712,-119.0194639
Oulu,65.0118734,25.4716809
San José,9.9325427,-84.0795782
Bournemouth,50.7194784,-1.8767712
Wichita,37.6922361,-97.3375448
Munster,52.307621600000004,-8.570897276292667
Manama,17.1750495,95.9999652
Essen,51.4582235,7.0158171
Brasilia,-10.3333333,-53.2
Aachen,50.776351,6.083862
Tunis,33.8439408,9.400138
Lewes,50.8746139,0.005115324110936268
Dayton,39.7589478,-84.1916069
Stevenage,51.9035099,-0.2013368
Novi Sad,45.2551338,19.8451756
Fredericton,45.94780155,-66.65347069241668
San Juan,18.465299,-66.116666
Annapolis,38.9786401,-76.492786
George Town,5.4141619,100.3287352
Maastricht,50.8512438,5.6909768
Zhengzhou,34.7487244,113.6191483
Beirut,33.8959203,35.47843
Ibadan,7.3777462,3.8972497
Odense,55.3997225,10.3852104
Gdynia,54.5164982,18.5402738
Katowice,50.2598987,19.0215852
Nur-Sultan,51.1282205,71.4306682
Charlottesville,38.029306,-78.4766781
Hanover,52.3744779,9.7385532
Tulsa,36.1556805,-95.9929113
Strasbourg,48.584614,7.7507127
Surat,45.9383,3.2553
Marietta,33.9528472,-84.5496148
Casablanca,33.5675527,-7.618756606822727
Saint Helier,47.3843871,4.6833254
Lucerne,47.0505452,8.3054682
Trondheim,63.4305658,10.3951929
Bandung,-6.9344694,107.6049539
Kampala,0.3177137,32.5813539
Ithaca,42.4396039,-76.4968019
Savannah,32.0809263,-81.0911768
Valletta,35.8989818,14.5136759
Winston-Salem,36.0998131,-80.2440518
Colombo,6.9387469,79.8541134
Gainesville,29.6519684,-82.3249846
Stavanger,59.1020129,5.712611357275702
Campinas,-22.90556,-47.06083
Ningbo,29.8622194,121.6203873
Thessaloniki,40.6403167,22.9352716
Turku,60.4517531,22.2670522
New Brunswick,46.500283,-66.750183
Medford,42.4184296,-71.1061639
Santa Fe,-30.3154739,-61.1645076
Izmir,38.4147331,27.1434119
Santa Rosa,38.4404925,-122.7141049
Dortmund,51.5142273,7.4652789
Venice,45.4371908,12.3345898
Jackson,32.2990021,-90.1847691
Quanzhou,24.8755492,118.6723605
Liege,50.6451381,5.5734203
Timisoara,45.7538355,21.2257474
Huntington,38.4192496,-82.445154
Odessa,46.4858883,30.683651011009996
Groningen,53.2190652,6.5680077
Christchurch,-43.530955,172.6366455
Chiang Mai,18.7882778,98.9858802
San Luis Obispo,35.3540209,-120.3757163
Quito,-0.2201641,-78.5123274
Novosibirsk,55.0282171,82.9234509
Freiburg,47.9960901,7.8494005
Missoula,46.8701049,-113.995267
Catania,37.5023612,15.0873718
Enschede,52.2209855,6.8940537
Maribor,46.5576439,15.6455854
Thiruvananthapuram,8.5241122,76.9360573
Tbilisi,41.6934591,44.8014495
Salzburg,47.7981346,13.0464806
Midland,32.023939549999994,-102.09648921925708
Saskatoon,52.131802,-106.660767
Livermore,37.6820583,-121.7680531
Harrisonburg,38.4493315,-78.8688833
Vadodara,22.2973142,73.1942567
Nicosia,35.1748976,33.3638568
Nashua,42.7656251,-71.4677032
Uppsala,59.8586126,17.6387436
Jiaxing,30.7474425,120.7510971
Iowa City,41.6612561,-91.5299106
West Chester,39.9597213,-75.6059638
Varna,43.2073873,27.9166653
Portsmouth,50.8036831,-1.075614
Frederick,39.415779,-77.4127562
Coventry,52.4081812,-1.510477
Westport,41.1414855,-73.3578955
Lugano,46.0050102,8.9520281
Joinville,48.4433253,5.1377537
Dalian,38.9181714,121.6282945
Kazan,55.7823547,49.1242266
Puebla,18.833333,-98.0
Cheyenne,41.139981,-104.820246
Zaragoza,41.6521342,-0.8809428
Davis,40.7474784,-92.3965311
Nijmegen,51.842574850000005,5.838960628748229
Bremen,53.0758196,8.8071646
Limassol,34.6852901,33.0332657
Eugene,44.0505054,-123.0950506
Islamabad,33.6938118,73.0651511
Rijeka,45.3271752,14.4412309
Hobart,-42.8825088,147.3281233
Harrisburg,40.2663107,-76.8861122
Ghaziabad,28.711241,77.4445372
Phuket,7.9366015,98.3529292
Edison,40.538457,-74.39450186737218
Fortaleza,-3.7304512,-38.5217989
Rouen,49.4404591,1.0939658
Naples,40.8358846,14.2487679
Concord,43.207178,-71.537476
San Rafael,37.9735346,-122.5310874
Traverse City,44.7606441,-85.6165301
Greensboro,36.0726355,-79.7919754
Bergen,60.3943055,5.3259192
Akron,41.083064,-81.518485
Visakhapatnam,17.7231276,83.3012842
Lucknow,26.8381,80.9346001
Baku,40.163999149999995,50.27770925520258
Faridabad,28.4031478,77.3105561
Kathmandu,27.708317,85.3205817
Trento,46.102817,11.129543099871789
Ashdod,31.7977314,34.6529922
Vaduz,47.1392862,9.5227962
Recife,-8.0584933,-34.8848193
Lancaster,40.03813,-76.3056686
Zapopan,20.7211203,-103.3913671
Newcastle,54.9738474,-1.6131572
Ostrava,49.8349139,18.2820084
Abuja,9.0643305,7.4892974
Sioux Falls,43.5460587,-96.7313928
Doha,25.2856329,51.5264162
Panama City,30.1600827,-85.6545729
Regina,50.44876,-104.61731
Augsburg,48.3668041,10.8986971
Lansing,42.7337712,-84.5553805
Ribeirao Preto,-21.178333,-47.8066671
Eilat,29.5569348,34.9497949
Chian,29.1465317,120.0300626
South Bend,41.6833813,-86.2500066
Petaluma,38.2325829,-122.636465
Milton Keynes,52.0429797,-0.7589607
Debrecen,47.531399,21.6259782
Kuwait City,29.3797091,47.9735629
Brookline,42.3317642,-71.1211635
Carson City,39.1649125,-119.7666496
Fuzhou,27.9511188,116.3530413
Iași,47.1615341,27.5836142
Jinan,36.6507007,117.1140042
Roswell,34.02332,-84.360022
Michigan City,41.7075394,-86.8950297
Tirana,41.3279485,19.8185512
Esch an der Alzette,49.4959628,5.9850306
Pretoria,-25.7459374,28.1879444
Ulaanbaatar,47.9184676,106.9177016
Yangon,16.7967129,96.1609916
Cagayan de Oro,8.4756417,124.6421532
Potsdam,52.4009309,13.0591397
Addis Ababa,9.0107934,38.7612525
Baton Rouge,30.4459596,-91.18738
Coimbra,40.2111931,-8.4294632
Bethlehem,31.7043556,35.2061876
Cagliari,39.2169525,9.1128513
Leicester,52.6361398,-1.1330789
Cedar Rapids,41.9758872,-91.6704053
Moncton,46.097995,-64.80011
Chatham,51.3804845,0.5292758
Linkoping,58.4098135,15.6245252
Aalborg,57.0462626,9.9215263
Nagpur,21.1498134,79.0820556
Nazareth,32.7066301,35.3048161
Bozeman,45.6794293,-111.044047
Taoyuan City,24.9929995,121.3010003
Genoa,44.40726,8.9338624
Tehran,35.6892523,51.3896004
Kharkiv,49.9923181,36.2310146
Durango,24.833333,-104.833333
Pensacola,30.421309,-87.2169149
Mendoza,-34.787093049999996,-68.43818677312292
Sao Jose dos Campos,-23.1860383,-45.8866816
State College,40.7944504,-77.8616386
Saarbrucken,49.247108100000005,6.997495426501035
Wollongong,-34.4243941,150.89385
Caesarea,38.7225274,35.4874516
Exeter,50.7255794,-3.5269497
Peterborough,52.5725769,-0.2427336
Duluth,46.7729322,-92.1251218
Derby,52.9212617,-1.4761491
Kosice,48.7172272,21.2496774
Caracas,10.506098,-66.9146017
Leesburg,28.810823,-81.8778582
Champaign,40.1164841,-88.2430932
Palma de Mallorca,39.5695818,2.6500745
Limerick,52.661252,-8.6301239
Chihuahua,28.5000001,-106.0000001
Jena,50.9281717,11.5879359
College Station,30.5955289,-96.3071042
Chisinau,47.0245117,28.8322923
Danville,40.125222,-87.6304614
Annecy,45.8992348,6.1288847
Sherbrooke,45.403271,-71.889038
Lebanon,33.8750629,35.843409
Sheridan,39.3530598,-100.4576457
Verona,45.4384958,10.9924122
Vasteras,59.6110992,16.5463679
Hasselt,50.9303735,5.3378043
Bentonville,36.3728538,-94.2088172
Northampton,52.23433665,-0.9028072768185829
Hefei,31.747699500000003,117.33251672423167
Ames,50.536715,2.4086536
Murcia,37.9923795,-1.1305431
Middletown,41.5623178,-72.6509061
Cheltenham,51.8995685,-2.0711559
Chester,53.1908873,-2.8908955
Danbury,41.394817,-73.4540111
Wuxi,31.4933074,120.3074357
Agadir,30.4211144,-9.5830626
San Luis Potosi,22.5000001,-100.4949145
Blacksburg,37.2296566,-80.4136767
Daejeon,36.3496,127.3848
Barrie,44.3893113,-79.6901736
Arnhem,51.984257,5.9108573
Aberdeen,57.1482429,-2.0928095
Lakeland,28.0394654,-81.9498042
Szczecin,53.42968095,14.592912670292268
St. John's,47.561701,-52.715149
Lublin,51.250559,22.5701022
Madurai,9.9261153,78.1140983
Vijayawada,16.5087586,80.6185102
Mogadishu,2.0349312,45.3419183
Durban,-29.861825,31.009909
Treviso,45.806691349999994,12.206315763116372
Bielefeld,52.0191005,8.531007
Suwanee,34.0514898,-84.0712997
Helsingborg,56.0441984,12.7040684
Neuchatel,46.9895828,6.9292641
Regensburg,49.0195333,12.0974869
Yantai,37.461928,121.4425255
Marlborough,42.3459271,-71.5522874
Novato,38.1061979,-122.5681191
Grand Junction,39.063956,-108.5507317
Brentwood,37.9317766,-121.696026
Santo Domingo,18.4801972,-69.942111
Newport News,36.9775016,-76.42977
Uberlandia,-18.9188041,-48.2767837
Aveiro,40.640496,-8.6537841
Breda,51.5887845,4.7760237
Manassas,38.7509488,-77.4752667
Murrieta,33.577752399999994,-117.18845420205307
Laguna Niguel,33.5225261,-117.7075526
Wurzburg,49.79245,9.932966
Fargo,46.877229,-96.789821
Split,43.5116383,16.4399659
Napa,28.1083929,84.0917139
Yverdon-les-Bains,46.7785711,6.6409158
Paphos,34.7743988,32.4231586
Tallahassee,30.4380832,-84.2809332
Tyler,32.3512601,-95.3010624
Swansea,51.6195955,-3.9459248
Kolding,55.4894999,9.47905
Thunder Bay,48.406414,-89.259796
Preston,53.7593363,-2.6992717
Truckee,39.327962,-120.1832533
Udaipur,24.578721,73.6862571
Monterey,36.2231079,-121.3877428
Myrtle Beach,33.6956461,-78.8900409
Green Bay,44.5126379,-88.0125794
Innsbruck,47.2654296,11.3927685
Kanpur,26.4609135,80.3217588
Donostia-San Sebastian,43.3224219,-1.9838889
Asuncion,-25.2800459,-57.6343814
Bhopal,23.2584857,77.401989
Kaliningrad,54.710128,20.5105838
Foshan,23.1102636,112.99801241836545
Erie,42.1294712,-80.0852695
Abidjan,5.320357,-4.016107
Gijón,43.5449422,-5.66275
Girona,41.9793006,2.8199439
Goiania,-16.680882,-49.2532691
Pontevedra,42.6075172,-8.4714942
Astoria,46.187885,-123.831256
Phnom Penh,11.568271,104.9224426
Guatemala City,14.6222328,-90.5185188
York,53.9590555,-1.0815361
Almaty,43.2363924,76.9457275
Praia,14.9162811,-23.5095095
Rajkot,22.3053263,70.8028377
Truro,50.2627515,-5.0520467
Modiin-Maccabim-Reut,31.9085744,35.0069297
Palermo,38.1112268,13.3524434
Charlottetown,46.234953,-63.132935
Basingstoke,51.262826,-1.0861976
Wiesbaden,50.0820384,8.2416556
Haarlem,52.383705750000004,4.643559696559635
Sarajevo,43.8519774,18.3866868
Magdeburg,52.1315889,11.6399609
Metz,49.1196964,6.1763552
Brantford,43.1408157,-80.2631733
Chelyabinsk,55.1598408,61.4025547
Andover,45.2332985,-93.2913405
Mobile,30.6943566,-88.0430541
Newport,41.4899827,-71.3137707
Scranton,41.4086874,-75.6621294
Schenectady,42.8142432,-73.9395687
's-Hertogenbosch,51.6889387,5.303116
Allentown,40.6022059,-75.4712794
Brunswick,52.2646577,10.5236066
Pisa,43.7159395,10.4018624
Vitoria,42.8465088,-2.6724025
Antalya,36.9009641,30.6954846
Alicante,38.3436365,-0.4881708
Brescia,45.77958045,10.4258729694612
Saint John,45.278752,-66.058044
Amersfoort,52.163773899999995,5.3965879493517015
Cancun,21.1617854,-86.8510468
Szeged,46.2546312,20.1486016
Loughborough,52.7723859,-1.2077985
Corpus Christi,27.7951482,-97.3942053
Chico,39.7284945,-121.8374777
Canton,32.555664,-95.8640507
Redding,40.5863563,-122.391675
Granada,37.1734995,-3.5995337
Lodz,51.772806599999996,19.47849495849145
Jodhpur,26.275682850000003,73.02969731064445
Modena,44.5384728,10.935960870530739
Bhubaneswar,20.28105765,85.81140263163533
Waterloo,42.4979693,-92.3329637
Yogyakarta,-7.9778383999999996,110.36722565020224
Whitewater,37.9647365,-97.1475347
Salvador,13.8000382,-88.9140683
Windsor,51.483757749999995,-0.6040964041849046
Jyvaskyla,62.2393002,25.745951
Temecula,33.4946353,-117.1473661
Kalamazoo,42.291707,-85.5872286
Bergamo,45.756655699999996,9.754219200862249
Jonkoping,57.7825634,14.165719
Tomsk,58.6124279,82.0475315
Kiel,54.3227085,10.135555
Poughkeepsie,41.7065539,-73.9283672
Yekaterinburg,56.839104,60.60825
Bradford,53.7944229,-1.7519186
Hermosillo,29.0948207,-110.9692202
Udine,46.0634632,13.2358377
Gilching,48.1140289,11.2921549
Appleton,44.2613967,-88.4069744
Viña del Mar,-33.0244535,-71.5517636
Sonoma,38.5110803,-122.8473388
Maceio,-9.6476843,-35.7339264
Issaquah,47.5348778,-122.0432974
Idaho Falls,43.4887907,-112.03628
Holmdel,40.3451095,-74.1840322
Ocala,29.1871986,-82.1400923
Mecca,21.420847,39.826869
Hilversum,52.23158695,5.173493602392345
Hiroshima,34.3916058,132.4518156
Fulton,40.4714305,-90.1845556
Topeka,39.049011,-95.677556
Klagenfurt am Wörthersee,46.6228162,14.3079604
Aalst,50.9383226,4.0392147
Joplin,37.08418,-94.51323
Toledo,39.8560679,-4.0239568
Stockton,37.9577016,-121.2907796
Palm Springs,33.772179449999996,-116.49529769785079
Brasov,45.6523093,25.6102746
Funchal,32.6496497,-16.9086783
Marbella,36.508976,-4.88562
New Providence,25.1943588,-77.29532966890318
Pescara,42.3102619,13.95759010584892
Raipur,21.2379469,81.6336833
A Coruna,43.3709703,-8.3959425
Baoshan,31.4015684,121.4452993
Queenstown,-45.0321923,168.661
Oviedo,43.3604218,-5.8450534
Joensuu,62.6006257,29.7584591
Fort Wayne,41.0799898,-85.1386015
Slough,51.5111014,-0.5940682
El Paso,31.7754152,-106.464634
Lubbock,33.5635206,-101.879336
Sharjah,25.3461498,55.4210633
Middlesbrough,54.5760419,-1.2344047
Dar es Salaam,-6.8160837,39.2803583
Modesto,37.6390972,-120.9968782
Lawrence,38.9719384,-95.2359496
The Woodlands,30.1734194,-95.504686
Le Bourget-du-Lac,45.6470041,5.8595715
Samara,53.3216598,50.195217127836344
Ede,52.07168255,5.745510631034939
Woodbridge,40.5576045,-74.2845911
Ridgefield,41.2814842,-73.4981792
Cuyahoga Falls,41.1348213,-81.4848086
Frome,51.2294852,-2.319846671158359
Peoria,40.6938609,-89.5891008
Ancona,43.480120400000004,13.218790609151764
Las Cruces,32.3140354,-106.7798078
Dehradun,30.3255646,78.0436813
Patna,25.6093239,85.1235252
Haikou,20.0462328,110.1956502
Huntsville,34.729847,-86.5859011
Valparaiso,41.4730948,-87.0611412
Darwin,-12.46044,130.8410469
Excelsior,44.9032963,-93.5663455
Reims,49.2577886,4.031926
Siena,43.1672254,11.467181161339118
Johor Bahru,1.503555,103.7495586
Tainan City,23.1361524,120.28712580184428
Varanasi,25.3356491,83.0076292
Bolzano,46.65594215,11.229637264169462
Saint Malo,48.649518,-2.0260409
Sursee,47.1740371,8.1089654
Shreveport,32.5221828,-93.7651944
Gwangju,35.1595775,126.8515089
Mombasa,-4.05052,39.667169
Steamboat Springs,40.4848003,-106.8317359
Surabaya,-7.2459717,112.7378266
Grand Forks,47.9078244,-97.0592028
Milton,30.6324149,-87.0396881
Padua,45.4077172,11.8734455
Soest,51.5725501,8.1061259
Changzhou,31.8122623,119.9691539
Larnaca,34.9236095,33.6236184
Amherst,42.3685658,-72.505714
Billings,45.7874957,-108.49607
Sapporo,43.061936,141.3542924
Zwolle,52.5089759,6.0943765
Halmstad,56.6739826,12.8574827
Flint,43.0161693,-83.6900211
